id	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4613277	2021-09-24 18:03:02	2021-09-24 22:40:56	128578	63003220	128578	490	34		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613277/ERR4613277.lite.1	ERX4542360	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087499	SAMEA7328973	simple	410658	soil metagenome	SAMEA7328973							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	5C312F86AC99D2E8C9A460706DC619A2	3E83428DBB927C73C9E53EF7118405FF
ERR4613278	2021-09-24 18:03:02	2021-09-24 22:41:15	365036	178867640	365036	490	96		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613278/ERR4613278.lite.1	ERX4542361	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087500	SAMEA7328974	simple	1118232	root metagenome	SAMEA7328974							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	D9322739728BEAB775B1D959DCEA17C8	1E7C924A15F20E1F9610BBE624B5A9C9
ERR4613279	2021-09-24 18:03:02	2021-09-24 22:42:36	707910	346875900	707910	490	186		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613279/ERR4613279.lite.1	ERX4542362	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087501	SAMEA7328975	simple	1118232	root metagenome	SAMEA7328975							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	BEA1E9B568AEA9C40C454B8F110BC8C2	C94E10AA967F5FE38405D34A54E8255A
ERR4613280	2021-09-24 18:03:02	2021-09-24 21:29:42	368498	180564020	368498	490	97		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613280/ERR4613280.lite.1	ERX4542363	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087502	SAMEA7328976	simple	1118232	root metagenome	SAMEA7328976							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	41A09E6B1B5CC1F2533BA45C28F034D5	C692FA87775D166FE85622BB845072E4
ERR4613281	2021-09-24 18:03:02	2021-09-24 21:37:32	742223	363689270	742223	490	196		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613281/ERR4613281.lite.1	ERX4542364	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087503	SAMEA7328977	simple	1118232	root metagenome	SAMEA7328977							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	957712B6671299A07313BEFD9D05EB9E	1A6CF0456E4421FD9014250FE84F95B2
ERR4613282	2021-09-24 18:03:02	2021-09-24 21:29:51	366897	179779530	366897	490	98		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613282/ERR4613282.lite.1	ERX4542365	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087504	SAMEA7328978	simple	1118232	root metagenome	SAMEA7328978							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	91B87A788D9ADEFC639F83865E1AB7A3	D01B6B2DF7B243DDC68CA2D34E283F8B
ERR4613283	2021-09-24 18:03:03	2021-09-24 21:29:55	360627	176707230	360627	490	96		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613283/ERR4613283.lite.1	ERX4542366	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087505	SAMEA7328979	simple	1118232	root metagenome	SAMEA7328979							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	A8E1EDF735719F894C394845D479D55B	4D06958ADFACAF14CF46C284EAEEB8D1
ERR4613284	2021-09-24 18:03:03	2021-09-24 21:29:46	341295	167234550	341295	490	91		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613284/ERR4613284.lite.1	ERX4542367	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087506	SAMEA7328980	simple	1118232	root metagenome	SAMEA7328980							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	94E3E5A227FFA54CF5959DE60C59FF1C	269D97FBCCAB80EB0E554A32C0792044
ERR4613285	2021-09-24 18:03:03	2021-09-24 21:29:45	359493	176151570	359493	490	95		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613285/ERR4613285.lite.1	ERX4542368	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087507	SAMEA7328981	simple	1118232	root metagenome	SAMEA7328981							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	B4CBC3D5039CA009E0230B362CC45BC4	0CD77AAE63A062C38012C6C95EE76C5E
ERR4613286	2021-09-24 18:03:03	2021-09-24 21:34:44	332244	162799560	332244	490	87		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613286/ERR4613286.lite.1	ERX4542369	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087508	SAMEA7328982	simple	1118232	root metagenome	SAMEA7328982							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	8C2546AA27A5B3329233E157C032A43B	A7E59262CE2EB234D7D27517F6C15FC8
